rank,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,class
1,54.444,92.222,95.556,96.667,96.111,94.444,80.556,46.944,35.833,63.333,92.222,95.556,96.667,96.111,94.444,84.444,58.333,41.667,93.889,96.667,97.222,97.778,97.778,97.222,96.667,93.333,50,93.889,96.667,97.222,97.778,97.778,97.222,96.667,93.333,54.167,93.889,96.667,97.222,97.778,97.778,97.222,96.667,93.333,56.111,94.444,96.667,97.222,97.778,97.778,97.222,96.667,93.333,59.444,94.444,96.667,97.222,97.778,97.778,97.222,96.667,93.333,64.722,70.556,94.444,96.667,97.5,97.778,97.222,97.222,95.278,72.222,58.889,92.222,96.111,97.222,97.778,97.222,97.778,97.222,95.556,A
2,70.833,80.278,95.833,97.222,97.778,97.5,97.778,97.222,95.556,59.167,73.333,94.444,96.111,96.667,96.111,95,85,69.722,54.444,68.611,94.444,96.111,96.667,96.111,95,80.556,63.889,51.944,65.833,94.444,96.111,96.667,96.111,95,80.556,61.389,50.278,63.611,94.167,95.556,95.278,93.889,91.111,74.167,60.278,48.611,63.333,93.889,95,93.889,83.611,76.389,66.111,60.278,46.944,63.333,93.889,95,93.889,80,72.778,66.944,61.111,44.167,63.333,93.889,95,93.889,82.778,73.611,69.444,63.611,38.056,63.611,94.167,95.556,95.278,88.056,78.889,73.333,68.333,B
3,41.389,46.111,48.056,49.167,50.278,52.5,55.278,64.722,87.778,93.611,60.833,55.556,55,56.944,58.056,77.778,83.333,50.556,93.333,76.667,66.667,64.167,84.444,92.778,60,51.111,45.833,83.056,69.167,67.5,64.167,59.444,54.722,50.833,46.667,41.667,82.222,66.111,63.611,59.167,54.722,50.278,46.944,43.056,38.889,82.222,64.167,60.556,56.111,51.389,46.944,43.889,40.278,36.667,82.222,62.778,58.333,52.778,48.056,43.611,40.556,36.944,33.889,82.222,62.222,55.278,48.889,44.167,40,37.222,33.889,31.111,70.556,62.5,50,42.5,39.167,35.833,32.5,30.278,28.333,C
4,37.5,43.333,45.833,47.5,48.611,50,51.944,55.833,85.278,49.167,50.833,53.056,60.556,90,69.444,65.556,88.889,46.389,74.167,63.611,63.611,93.611,95,86.111,55.278,48.611,44.167,69.722,67.778,63.056,60,56.389,52.222,46.944,43.056,38.889,65.556,62.222,57.222,54.444,49.722,45.278,40.556,38.056,35.278,63.333,58.333,53.056,49.167,45,41.944,37.5,34.722,32.778,59.167,54.167,49.167,44.722,41.944,39.167,34.722,33.056,30,59.167,52.222,45,40,36.389,33.889,31.389,30,27.5,55.278,46.111,40.278,37.222,33.611,30.833,29.167,27.778,26.389,D
5,42.778,72.5,82.222,59.722,44.722,37.5,34.722,31.667,28.611,71.389,82.222,76.389,64.444,53.611,43.889,39.444,35.556,31.389,90.278,81.667,77.222,71.111,65,55.833,42.778,38.889,34.722,93.056,83.056,80.833,95,87.5,80.278,48.333,42.778,38.611,68.333,76.111,88.333,83.611,77.5,68.333,54.722,45.556,40.556,55.556,69.722,78.611,78.333,73.333,66.389,57.5,50,42.222,50.278,80,80.278,78.611,73.056,67.222,60.833,53.889,45.833,43.889,81.389,80.556,78.056,73.611,69.167,65.833,59.444,51.111,36.667,83.056,80,78.333,76.111,72.5,70,65.278,53.611,E
6,28.611,31.944,34.722,37.778,41.389,45.833,58.611,91.667,90.278,31.389,35,38.889,43.333,46.944,74.167,91.389,92.222,84.722,34.167,38.333,43.333,47.778,74.722,91.111,92.222,93.333,89.167,36.944,43.056,49.722,86.667,91.944,94.167,95,94.167,89.722,40.278,52.778,88.889,92.778,94.167,94.444,94.444,94.444,90.278,73.333,92.5,94.722,93.889,94.167,94.722,95,93.611,88.889,90.556,94.167,95,94.167,94.722,94.722,94.444,94.722,91.389,94.167,96.389,96.389,96.944,97.222,96.667,95.833,96.389,93.056,48.333,50.278,51.944,52.5,54.167,56.667,61.667,93.611,92.778,F
7,76.944,57.222,53.611,52.778,51.667,52.778,76.944,78.333,31.944,74.722,66.667,61.667,61.389,63.056,65.833,91.667,79.444,43.056,76.667,73.333,70.278,68.889,70.278,94.444,75.556,79.167,46.944,89.444,76.389,75.833,73.333,78.889,68.889,68.333,77.778,49.167,40.278,49.722,53.889,54.722,58.611,61.944,64.444,84.167,49.722,35.556,41.389,45.556,50,52.778,55.833,60.556,71.944,49.444,31.667,36.667,40,45,47.778,50.833,56.111,71.111,52.5,29.167,33.889,36.111,40,41.667,45.833,49.444,54.444,54.444,26.389,30,32.222,35.833,37.5,40,43.889,48.333,75.833,G
8,24.722,28.889,31.667,34.444,35.556,39.444,41.389,43.611,62.778,27.5,32.778,35.278,37.778,40.278,42.778,47.5,63.611,42.778,34.167,39.167,41.111,43.889,45.556,44.722,38.611,42.222,39.444,43.333,43.611,46.667,46.944,48.611,61.111,41.667,38.056,34.167,56.667,51.389,48.611,49.722,53.889,44.444,40,35.833,31.389,66.389,60.833,57.778,51.667,46.667,41.111,38.333,34.444,29.167,62.5,65.278,65.278,53.056,43.333,40.556,35.833,31.111,30.556,46.667,68.333,77.5,46.389,41.389,36.111,32.5,30.278,27.222,43.889,70.556,49.167,41.667,36.944,32.778,29.722,26.389,24.722,H
9,30,32.778,36.389,40.833,66.944,93.056,92.778,66.667,35.278,33.333,36.667,41.667,48.056,88.611,94.722,81.111,90,45.278,36.389,40.556,46.389,85.833,94.444,80,79.722,89.722,49.722,39.167,44.167,54.167,92.778,76.667,77.222,77.5,92.5,51.111,41.667,48.611,86.111,94.722,73.611,74.444,74.444,92.778,53.889,44.722,85.278,92.778,70.556,69.167,68.333,71.389,82.5,55,74.167,92.778,67.222,65,63.889,64.722,65.833,78.889,63.611,88.056,88.611,59.444,58.889,57.222,58.611,60.278,64.167,75.278,85,50.278,48.889,50.556,50.833,52.778,55,57.222,85.278,I
10,32.778,40.833,49.444,78.889,95.556,96.389,96.667,96.667,94.167,52.778,92.5,96.389,96.389,96.944,96.944,96.944,95.833,93.333,89.167,95.278,96.667,96.389,96.389,95.278,94.167,76.389,73.889,93.056,95.833,96.389,95,95.833,68.333,67.778,70,77.5,45.278,50.278,54.167,55.833,59.722,61.111,63.889,67.778,75.556,37.778,43.611,48.333,50,53.056,56.111,59.167,63.056,70.833,33.889,38.333,42.222,45,48.333,51.667,55.278,60,70.278,30.556,34.722,38.611,41.111,44.722,47.778,51.111,55,67.5,28.611,31.944,34.444,37.222,40.833,42.5,45.556,51.111,68.611,J
