rank,Attr_1,Attr_2,Attr_3,Attr_4,Attr_5,Attr_6,Attr_7,Attr_8,Attr_9,Attr_10,Attr_11,Attr_12,Attr_13,Attr_14,Attr_15,Attr_16,Attr_17,Attr_18,Attr_19,Attr_20,Attr_21,Attr_22,Attr_23,Attr_24,Attr_25,Attr_26,Attr_27,Attr_28,Attr_29,Attr_30,Attr_31,Attr_32,Attr_33,Attr_34,Attr_35,Attr_36,Attr_37,Attr_38,Attr_39,Attr_40,Attr_41,Attr_42,Attr_43,Attr_44,Attr_45,Attr_46,Attr_47,Attr_48,Attr_49,Attr_50,Attr_51,Attr_52,Attr_53,Attr_54,Attr_55,Attr_56,Attr_57,Attr_58,Attr_59,Attr_60,Attr_61,Attr_62,Attr_63,Attr_64,Attr_65,Attr_66,Attr_67,Attr_68,Attr_69,Attr_70,Attr_71,Attr_72,Attr_73,Attr_74,Attr_75,Attr_76,Attr_77,Attr_78,Attr_79,Attr_80,Attr_81,Attr_82,Attr_83,Attr_84,Attr_85,Attr_86,Attr_87,Attr_88,Attr_89,Attr_90,Attr_91,Attr_92,Attr_93,Attr_94,Attr_95,Attr_96,Attr_97,Attr_98,Attr_99,Attr_100,Attr_101,Attr_102,Attr_103,Attr_104,Attr_105,Attr_106,Attr_107,Attr_108,Attr_109,Attr_110,Attr_111,Attr_112,Attr_113,Attr_114,Attr_115,Attr_116,Attr_117,Attr_118,Attr_119,Attr_120,Attr_121,Attr_122,Attr_123,Attr_124,Attr_125,Attr_126,Attr_127,Attr_128,Attr_129,Attr_130,Attr_131,Attr_132,Attr_133,Attr_134,Attr_135,Attr_136,Attr_137,Attr_138,Attr_139,Attr_140,Attr_141,Attr_142,Attr_143,Attr_144,Attr_145,Attr_146,Attr_147,Attr_148,Attr_149,Attr_150,Attr_151,Attr_152,Attr_153,Attr_154,Attr_155,Attr_156,Attr_157,Attr_158,Attr_159,Attr_160,Attr_161,Attr_162,Attr_163,Attr_164,Attr_165,Attr_166,Attr_167,Attr_168,Attr_169,Attr_170,Attr_171,Attr_172,Attr_173,Attr_174,Attr_175,Attr_176,Attr_177,Attr_178,Attr_179,Attr_180,Attr_181,Attr_182,Attr_183,Attr_184,Attr_185,Attr_186,Attr_187,Attr_188,Attr_189,Attr_190,Attr_191,Attr_192,Attr_193,Attr_194,Attr_195,Attr_196,Attr_197,Attr_198,Attr_199,Attr_200,Attr_201,Attr_202,Attr_203,Attr_204,Attr_205,Attr_206,Attr_207,Attr_208,Attr_209,Attr_210,Attr_211,Attr_212,Attr_213,Attr_214,Attr_215,Attr_216,Attr_217,Attr_218,Attr_219,Attr_220,Attr_221,Attr_222,Attr_223,Attr_224,Attr_225,Attr_226,Attr_227,Attr_228,Attr_229,Attr_230,Attr_231,Attr_232,Attr_233,Attr_234,Attr_235,Attr_236,Attr_237,Attr_238,Attr_239,Attr_240,Attr_241,Attr_242,Attr_243,Attr_244,Attr_245,Attr_246,Attr_247,Attr_248,Attr_249,Attr_250,Attr_251,Attr_252,Attr_253,Attr_254,Attr_255,Attr_256,Attr_257,Attr_258,Attr_259,Attr_260,Attr_261,Attr_262,Attr_263,Attr_264,Attr_265,Attr_266,Attr_267,Attr_268,Attr_269,Attr_270,Attr_271,Attr_272,Attr_273,Attr_274,Attr_275,Attr_276,Attr_277,Attr_278,Attr_279,Attr_280,Attr_281,Attr_282,Attr_283,Attr_284,Attr_285,Attr_286,Attr_287,Attr_288,Attr_289,Attr_290,Attr_291,Attr_292,Attr_293,Attr_294,Attr_295,Attr_296,Attr_297,Attr_298,Attr_299,Attr_300,Attr_301,Attr_302,Attr_303,Attr_304,Attr_305,Attr_306,Attr_307,Attr_308,Attr_309,Attr_310,Attr_311,Attr_312,Attr_313,Attr_314,Attr_315,Attr_316,Attr_317,Attr_318,Attr_319,Attr_320,Attr_321,Attr_322,Attr_323
1,0,0.65873,4.4752,9.6635,3.6227,2.2465,18.785,21.492,0.67308,20.394,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,14.133,-10.491,3.1603,23.212,13.025,0.37945,26.231,17.173,0,0,0,0,0,0,0,0,4.614,8.3756,0.8178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,14.133,2.0494,3.1603,10.348,-0.025737,-1.622,26.231,17.115,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,6.3006,4.6791,24.366,1.1624,2.1463,17.057,0,0,0,0,0,0,0,0,0.49357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0535,0.50169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68788,9.9125,0.12114,17.163,-0.17923,-7.7619,6.1195,0,0,0,0,0,0,0,0,0,0,0,0,0.96578,2.3673,5.3306,7.1303,13.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,8.4696,0.38216,4.7867,8.6226,4.6679,15.416,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,5.4705,6.356,15.524,-9.639,4.7121,6.3772,27.547,19.797,4.1547,11.263,30.293,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,2.0494,22.307,10.782,-0.72455,22.325,22.204,0,0,0,0,0,0,0,0,0,-0.76473,0.6273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,5.4705,6.356,15.524,-9.639,4.7121,6.3772,27.547,19.797,4.1547,11.263,30.293,0,0,0,0,0,0,4.2388,-6.7459,12.76,0.44826,8.6226,4.6679,15.416,0,0,0,0,0,0,0,0,0,0,0,0,7.5669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,1.8524,22.307,10.782,-0.72455,22.325,13.206,0,0,0,0,0,0,0,0
2,0,0.65873,7.0268,2.5843,1.3643,16.156,7.7635,-4.2576,0,0,0,0,0,0,0,0,0,0,0,0,2.4269,5.5839,8.1204,10.874,15.524,3.3313,4.6791,24.366,27.547,19.797,4.1547,11.263,48.255,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,-10.491,3.1603,23.212,13.025,0.37945,1.2791,17.115,29.772,0,0,0,0,0,0,0,0.65873,7.0268,0.64318,13.553,5.9821,-5.2696,6.1003,16.185,18.228,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,5.4705,12.503,15.524,18.714,4.6791,6.3772,27.547,19.797,4.1547,38.463,30.293,0,0,0,0,0,0,0.65873,4.4752,5.4705,12.503,-8.7261,3.3313,21.492,12.538,1.1624,2.1463,31.05,22.488,36.482,0,0,0,0,0,0,3.281,5.5839,0.9042,1.5912,2.4436,17.025,19.772,12.538,15.768,2.2114,4.1547,38.463,48.255,0,0,0,0,0,0,3.281,5.5839,-4.7197,1.5912,2.4436,3.5024,21.492,24.366,15.768,2.2114,30.319,38.463,48.255,0,0,0,0,0,0,4.614,-5.1456,3.1416,1.3643,16.156,7.7635,0.52186,7.2089,23.241,25.178,31.05,38.463,48.255,0,0,0,0,0,0,0.6733,5.2801,-8.0537,15.358,6.3187,4.0315,6.1099,17.038,18.996,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,7.1785,18.714,-10.231,6.3772,27.547,19.797,4.1547,11.263,30.293,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,17.223,3.1603,23.212,13.025,0.37945,1.2791,17.115,29.772,0,0,0,0,0,0,0,4.2388,-0.24545,3.4871,6.5797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68788,6.0851,12.75,3.9217,1.8524,8.5294,21.218,18.183,0,0,0,0,0,0,0,0,0,0,0,-5.4813,2.3673,0.5917,11.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1447,-8.3461,14.562,7.1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.64416,7.0268,-6.3867,1.3643,16.156,7.7635,9.915,20.686,-0.67229,25.178,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,5.0162,3.1603,23.212,-0.025737,-1.622,13.16,0,0,0,0,0,0,0,0,0,5.947,10.156,0.3656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,-0.24545,3.4871,6.5797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,3.9638,3.1603,10.348,-0.025737,21.359,0,0,0,0,0,0,0,0,0,0,7.5669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.947,10.156,0.5917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68788,6.0851,6.8794,0.9106,19.736,8.5294,21.218,18.183,10.226,0,0,0,0,0,0,0,0,0,0,5.947,10.156,3.4871,0.44826,-7.1973,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,-8.0537,1.1375,6.3187,0.037939,19.836,17.306,10.192,21.515,24.928,0,0,0,0,0,0,0,0,0.65873,1.3726,2.1701,6.356,15.524,18.714,4.6791,24.366,15.768,2.2114,5.9684,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,11.206,1.1375,17.946,8.1465,-0.08836,17.306,0,0,0,0,0,0,0,0,0,0,0,0.54215,3.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,-9.639,4.7121,6.3772,27.547,2.2114,30.319,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,11.206,3.702,17.946,8.1465,-0.08836,17.306,21.359,21.515,0,0,0,0,0,0,0,0,0,5.8289,1.0068,8.4926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,1.1375,17.946,0.037939,13.905,0,0,0,0,0,0,0,0,0,0,0
4,0,0.65873,4.4752,9.6635,1.3643,2.2465,18.785,9.915,0.67308,20.394,20.825,0,0,0,0,0,0,0,0,0,0.65873,4.4752,9.6635,12.503,15.524,-9.639,4.6791,6.3772,27.547,19.797,4.1547,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,2.0494,20.546,-0.08836,-3.7968,10.192,21.515,0,0,0,0,0,0,0,0,0,4.2388,-6.7459,3.4871,1.9598,12.614,13.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,6.961,17.223,-11.431,23.212,13.025,0.37945,1.2791,17.115,0,0,0,0,0,0,0,0,3.281,0.35486,0.9042,11.749,14.366,17.025,19.772,12.05,15.223,2.2114,31.05,0,0,0,0,0,0,0,0,4.614,7.0268,-6.3867,-7.6086,2.2465,3.3313,21.492,24.366,15.768,2.2114,5.9684,11.263,48.255,0,0,0,0,0,0,3.281,7.0268,-6.3867,1.3643,2.2465,3.3313,21.492,12.538,1.1624,12.301,5.9684,38.463,0,0,0,0,0,0,0,0.65873,4.4752,9.6635,12.503,2.2465,18.785,9.915,0.67308,-0.67229,25.178,31.05,22.488,36.482,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,17.946,8.1465,19.836,17.306,10.192,13.16,24.928,29.772,0,0,0,0,0,0,0,0.64416,1.3726,5.4705,6.356,7.1785,18.714,4.6791,24.366,15.768,2.2114,5.9684,22.488,36.482,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,-10.491,3.1603,23.212,-0.025737,21.359,13.16,0,0,0,0,0,0,0,0,0,5.8289,2.1449,1.7168,10.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,5.4705,6.356,15.524,-9.639,8.0707,6.3772,27.547,19.797,4.1547,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,-8.0537,1.1375,6.3187,0.037939,-5.3989,7.9071,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,-8.0537,15.358,6.3187,-6.5158,6.1099,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,5.4705,12.503,15.524,3.3313,21.492,24.366,15.768,2.2114,31.05,22.488,36.482,0,0,0,0,0
5,0,0.64416,3.6702,4.766,10.874,3.8793,3.5024,9.4815,12.05,1.9454,24.126,0,0,0,0,0,0,0,0,0,3.281,2.273,0.9042,13.553,16.156,7.7635,9.915,0.67308,1.1624,2.1463,31.05,38.463,48.255,0,0,0,0,0,0,0.6733,1.4019,6.1749,14.133,-10.491,3.1603,23.212,-0.025737,-1.622,26.231,17.115,29.772,0,0,0,0,0,0,0,0.7904,0.35486,9.1563,4.1978,1.0892,1.0739,5.5412,-1.7135,20.394,0,0,0,0,0,0,0,0,0,0,4.614,7.0268,9.6635,-7.6086,2.2465,18.785,21.492,12.538,1.1624,2.2114,30.319,38.463,48.255,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,2.0494,20.546,10.348,-0.025737,-1.622,26.231,17.115,29.772,0,0,0,0,0,0,0,-3.9572,0.054705,10.958,13.553,16.156,18.785,9.915,12.538,1.1624,12.301,31.05,38.463,48.255,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,2.0494,3.1603,23.212,13.025,-1.622,26.231,17.115,29.772,0,0,0,0,0,0,0,-2.4331,0.35486,9.1563,4.1978,1.0892,1.0739,-4.2576,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,17.946,8.1465,-0.08836,17.306,10.192,21.515,24.928,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,18.714,4.6791,24.366,15.768,2.2114,5.9684,22.488,36.482,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,2.0494,3.1603,23.212,-0.025737,-1.622,13.16,0,0,0,0,0,0,0,0,0,-0.4198,2.1449,8.4926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68788,6.0851,12.75,-11.053,1.8524,22.307,-0.69858,23.291,22.325,13.206,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,17.946,8.1465,-5.3989,7.9071,10.192,13.16,24.928,0,0,0,0,0,0,0,0,1.1908,2.1449,0.8178,0.77359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,-11.053,19.736,-0.48004,14.694,0,0,0,0,0,0,0,0,0,0,0
6,0,0.65873,7.0268,-6.3867,3.5625,2.2465,18.785,9.915,0.67308,20.394,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,2.0494,20.546,10.348,-0.025737,21.359,13.16,0,0,0,0,0,0,0,0,0,0.6733,-6.7459,3.4871,6.5797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2388,-6.7459,12.76,-7.4757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,1.4019,6.1749,6.961,17.223,-11.431,4.5308,26.036,16.312,1.3496,5.1735,22.557,0,0,0,0,0,0,0,0.65873,4.4752,9.6635,-7.6086,2.2465,18.785,9.915,0.67308,20.394,13.113,24.312,0,0,0,0,0,0,0,0,2.4269,3.6702,8.1204,-5.8863,2.4436,17.025,21.492,12.538,1.1624,25.178,0,0,0,0,0,0,0,0,0,0.65873,4.4752,5.4705,6.356,15.524,-9.639,4.6791,24.366,15.768,2.2114,5.9684,38.463,30.293,0,0,0,0,0,0,3.3328,7.0268,0.64318,13.553,5.9821,0.55592,-4.2576,16.43,20.394,13.113,0,0,0,0,0,0,0,0,0,4.2388,8.4696,0.38216,4.7867,-7.1973,4.6679,6.1099,17.038,0,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,7.1785,18.714,8.0707,6.3772,15.768,2.2114,5.9684,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,2.0494,8.1465,-0.08836,7.9295,0,0,0,0,0,0,0,0,0,0,0,-0.4198,2.1449,1.7168,10.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,18.714,8.0707,6.3772,27.547,19.797,4.1547,11.263,30.293,0,0,0,0,0,0,4.2388,8.4696,2.7115,1.1375,6.3187,0.037939,-5.3989,17.306,18.996,0,0,0,0,0,0,0,0,0,0,-0.76473,2.3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,14.133,2.0494,3.1603,24.931,-0.72455,-2.5718,13.206,0,0,0,0,0,0,0,0
7,0,0.65873,7.0268,2.5843,1.3643,16.156,0.55592,5.4822,16.43,0,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,9.6635,-7.6086,2.2465,18.785,9.915,0.67308,-0.67229,13.113,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,1.1375,17.946,8.1465,-0.08836,-3.7968,10.192,22.204,0,0,0,0,0,0,0,0,0,-0.4198,2.1449,4.3642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,2.0494,20.546,23.212,-0.025737,21.359,13.16,0,0,0,0,0,0,0,0,0,4.614,7.0268,0.64318,1.3643,16.156,18.785,9.915,12.538,1.1624,2.2114,31.05,38.463,48.255,0,0,0,0,0,0,3.281,5.5839,8.1204,1.5912,2.4436,3.5024,19.772,22.695,15.223,19.797,4.1547,21.51,48.255,0,0,0,0,0,0,2.4269,7.0268,9.6635,3.5625,2.2465,18.785,21.492,12.538,15.768,2.2114,16.165,38.463,30.293,0,0,0,0,0,0,0.65873,4.4752,9.6635,-7.6086,2.2465,18.785,9.915,0.67308,20.394,25.178,17.057,22.488,36.482,0,0,0,0,0,0,4.614,7.0268,9.6635,3.5625,16.156,7.7635,5.4822,17.306,21.359,13.16,0,0,0,0,0,0,0,0,0,3.3328,4.4752,9.6635,12.503,-8.7261,3.3313,4.6791,24.366,27.547,19.797,4.1547,11.263,30.293,0,0,0,0,0,0,4.2388,5.2801,6.1749,14.133,3.9638,20.546,5.364,18.183,10.226,0,0,0,0,0,0,0,0,0,0,5.8289,2.1449,3.2306,0.77359,0.66638,-5.2696,13.116,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,2.0494,8.5294,-0.69858,18.183,0,0,0,0,0,0,0,0,0,0,0,-0.4198,0.7529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,8.4696,0.38216,15.358,6.3187,11.745,6.1195,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,9.6635,-7.6086,2.2465,7.7635,0.52186,16.43,10.157,0,0,0,0,0,0,0,0,0
8,0,0.64416,3.6702,8.1204,10.874,2.4436,17.025,19.772,12.05,15.223,24.126,0,0,0,0,0,0,0,0,0,3.3328,4.4752,9.6635,12.503,15.524,-9.639,4.6791,6.3772,27.547,2.2114,16.165,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,11.206,1.1375,6.3187,-6.5158,13.905,7.9071,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,1.1375,6.3187,0.037939,13.905,7.9071,0,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,5.4705,12.503,15.524,18.714,8.0707,6.3772,27.547,19.797,4.1547,11.263,30.293,0,0,0,0,0,0,0.6733,5.2801,11.206,1.1375,17.946,8.1465,-0.08836,17.306,10.192,0,0,0,0,0,0,0,0,0,0,0.65873,4.4752,9.6635,12.503,2.2465,3.3313,21.492,12.538,1.1624,25.178,17.057,0,0,0,0,0,0,0,0,0.6733,1.4019,6.1749,6.961,17.223,-11.431,4.5308,26.036,16.312,1.3496,32.184,22.557,0,0,0,0,0,0,0,0.6733,5.2801,-8.0537,15.358,0.24357,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,-8.0537,1.1375,6.3187,0.037939,6.1099,17.038,0,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,-9.639,4.6791,6.3772,27.547,19.797,30.319,38.463,30.293,0,0,0,0,0,0,4.2388,5.2801,11.206,14.133,17.223,-11.431,4.5308,26.036,0.37945,1.2791,32.184,22.557,0,0,0,0,0,0,0,0.6733,8.4696,0.38216,4.7867,2.8985,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64416,1.3726,5.4705,6.356,7.1785,18.714,-10.231,6.3772,27.547,19.797,4.1547,38.463,30.293,0,0,0,0,0,0,0.6733,1.4019,6.1749,6.961,17.223,3.1603,10.348,-0.025737,-1.622,13.16,24.928,29.772,0,0,0,0,0,0,0,3.3328,0.054705,0.8178,6.0291,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,17.223,20.466,-12.036,6.2487,16.312,1.3496,5.1735,39.673,0,0,0,0,0,0
9,0,0.65873,4.4752,-6.3867,1.3643,16.156,7.7635,0.52186,20.686,20.394,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,-9.331,2.0494,20.546,-0.69858,18.183,10.226,0,0,0,0,0,0,0,0,0,0,7.5669,0.6273,4.8474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2388,8.4696,-8.0537,15.358,6.3187,-7.7619,6.1195,7.9295,0,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,-9.639,4.6791,24.366,1.1624,2.1463,31.05,22.488,0,0,0,0,0,0,0,4.2388,-0.24545,3.4871,6.5797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,2.0494,20.546,23.212,-0.72455,-2.5718,13.206,25.544,0,0,0,0,0,0,0,0,4.614,7.0268,0.64318,13.553,5.9821,0.55592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,8.4696,-8.0537,15.358,6.3187,-6.5158,6.1099,0,0,0,0,0,0,0,0,0,0,0,0,4.2388,-6.7459,12.76,4.7867,0.24357,11.04,6.1099,7.9071,18.996,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,7.1785,18.714,4.6791,6.3772,27.547,19.797,4.1547,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,2.0494,20.546,-0.69858,18.183,10.226,0,0,0,0,0,0,0,0,0,0,-0.4198,2.1449,-1.511,2.5374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,18.714,4.6791,6.3772,27.547,19.797,4.1547,38.463,30.293,0,0,0,0,0,0,4.2388,8.4696,0.38216,15.358,0.24357,11.04,6.1099,7.9071,18.996,0,0,0,0,0,0,0,0,0,0,7.5669,3.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,2.0494,20.546,10.348,-0.72455,22.325,13.206,0,0,0,0,0,0,0,0
10,0,0.65873,7.0268,0.64318,13.553,5.9821,0.55592,0.52186,16.43,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,6.961,-10.491,3.1603,4.5308,26.036,16.312,1.3496,32.184,29.772,0,0,0,0,0,0,0,3.3328,0.054705,3.2306,6.0291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,8.4696,-8.0537,1.1375,17.946,8.1465,-5.3989,17.306,10.192,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,18.714,4.6791,24.366,15.768,2.2114,5.9684,38.463,36.482,0,0,0,0,0,0,0.65873,7.0268,10.958,-6.0184,7.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,6.1749,14.133,-10.491,3.1603,23.212,13.025,0.37945,27.489,32.184,29.772,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,-9.639,4.6791,6.3772,27.547,2.2114,5.9684,38.463,36.482,0,0,0,0,0,0,0.6733,5.2801,11.206,1.1375,17.946,8.1465,-0.08836,-3.7968,10.192,13.16,0,0,0,0,0,0,0,0,0,4.2388,8.4696,0.38216,4.7867,0.24357,11.04,6.1099,17.038,18.996,0,0,0,0,0,0,0,0,0,0,0.65873,1.3726,5.4705,6.356,15.524,-9.639,4.6791,24.366,15.768,2.2114,5.9684,38.463,30.293,0,0,0,0,0,0,0.6733,5.2801,11.206,3.7722,17.946,8.1465,21.218,7.9295,0,0,0,0,0,0,0,0,0,0,0,5.8289,2.9455,-1.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3328,4.4752,9.6635,1.3643,16.156,7.7635,13.116,0,0,0,0,0,0,0,0,0,0,0,0,4.2388,8.4696,0.38216,4.7867,8.6226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5669,0.6273,4.8474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6733,5.2801,11.206,-9.331,2.0494,22.307,10.782,-0.72455,22.325,22.204,0,0,0,0,0,0,0,0
