rank,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,class
1,35.833,84.444,97.778,97.778,98.333,98.056,97.778,89.444,35.556,46.667,96.111,98.333,98.889,98.333,98.889,98.333,95.833,45,86.389,97.222,98.611,98.889,97.778,98.889,98.333,97.222,56.111,95.556,97.778,98.056,98.889,98.333,98.889,98.056,97.778,87.5,96.667,97.778,98.333,98.889,99.444,98.889,98.333,98.333,96.111,96.111,97.778,98.056,98.333,99.167,97.778,98.333,97.778,96.667,96.667,97.778,98.889,98.889,98.611,98.889,97.778,96.944,61.389,95.833,98.333,98.889,98.611,98.889,98.889,98.056,92.5,37.778,44.167,96.944,97.778,98.333,97.5,94.444,47.5,36.667,31.667,A
2,96.111,96.111,71.944,54.722,47.778,41.944,38.056,33.889,30.278,68.333,74.444,78.611,95,95.833,52.222,43.333,38.889,33.889,60,69.444,75.833,79.444,82.5,91.944,95.278,43.889,36.944,57.5,66.389,74.167,78.889,81.667,84.722,86.111,93.889,44.167,56.389,66.667,73.611,79.444,82.5,85,87.222,87.778,92.5,58.056,70.278,76.944,82.222,85.278,87.778,89.444,94.444,95.556,73.889,96.944,98.611,98.889,97.778,98.889,98.333,97.222,65,86.389,97.222,98.611,98.056,98.333,98.333,96.944,64.167,36.944,36.111,54.444,95.278,97.778,97.5,93.889,44.722,37.5,31.944,B
3,66.944,55.278,51.111,46.111,44.444,38.611,33.333,29.444,28.333,95.556,87.778,59.444,55.833,53.611,50.278,40.278,32.5,29.722,64.444,97.5,98.333,98.333,98.333,98.333,96.667,39.444,32.5,55.833,68.333,85,93.056,95,95.556,95,54.167,38.333,52.778,84.444,97.222,95.278,95,96.667,92.778,55.833,44.167,47.5,95,97.778,98.333,97.222,93.333,68.611,58.333,48.333,35.833,95,97.778,98.333,97.222,93.889,70,61.667,51.667,30.556,37.778,46.944,50.833,53.333,95,95.833,69.722,57.222,27.222,30,36.944,41.944,45.278,47.222,50,77.222,94.722,C
4,79.167,63.611,52.5,45.833,43.889,39.444,35.833,32.778,29.722,88.333,68.333,61.111,54.444,50.833,45.556,41.667,36.667,32.778,77.778,70.556,66.389,61.111,59.444,54.444,48.333,41.944,35.278,94.444,73.611,71.111,67.778,67.778,66.667,90,79.444,41.389,84.444,76.944,74.722,73.611,98.056,96.944,97.778,97.5,94.167,72.778,95.833,78.889,84.167,98.333,98.333,97.778,97.778,96.389,40.278,92.222,83.611,87.5,96.667,96.944,96.111,96.667,92.222,34.444,45,95.556,90.833,94.444,97.5,98.333,96.111,52.222,30.833,35,45.278,95.556,97.778,97.778,96.667,55.278,35.278,D
5,96.111,98.333,98.889,98.889,99.444,98.889,98.889,98.333,96.111,97.222,98.333,98.889,98.611,99.444,98.611,98.333,97.778,95,96.667,98.056,98.889,98.333,98.889,97.778,97.778,95.556,58.056,97.222,98.333,98.889,97.778,98.889,97.222,96.111,63.889,53.333,96.111,98.333,98.333,98.333,97.778,93.889,72.222,62.222,51.111,51.111,95.833,97.778,97.778,96.667,85.556,81.667,65.833,48.333,43.889,53.889,96.667,98.333,98.333,98.333,98.333,95.556,41.389,38.611,46.111,91.111,97.222,98.333,97.778,96.944,64.722,35.556,33.056,38.333,51.389,96.667,97.222,95.833,52.5,36.944,30.556,E
6,36.111,84.444,96.944,97.778,98.333,96.667,91.944,43.333,35.278,81.111,97.778,98.333,98.333,97.778,98.889,96.667,90.556,43.056,94.444,96.944,97.5,97.222,96.667,78.056,76.389,76.667,64.722,95.833,96.944,97.222,95,80.556,76.111,71.944,67.222,64.722,95,96.667,96.111,90.278,79.444,74.444,66.944,57.778,49.167,95.278,96.667,96.111,88.889,80.833,73.611,61.667,50.556,41.667,96.389,97.222,97.5,96.389,91.667,84.444,56.111,42.222,36.389,96.111,97.5,97.778,96.944,98.056,86.944,41.667,36.389,31.667,83.889,97.222,97.222,95.278,51.944,39.444,35.556,32.778,29.167,F
7,32.5,36.111,42.5,54.167,94.444,56.944,43.611,36.389,31.944,36.944,42.222,49.167,95,93.889,62.222,51.389,43.333,36.944,40.833,46.667,55,95,93.889,68.333,59.722,48.889,40.833,43.889,51.389,77.778,96.389,83.889,76.111,78.056,94.167,44.722,48.889,56.944,91.111,97.778,98.333,98.333,97.778,97.778,84.444,56.667,63.333,90.833,97.778,98.889,98.333,98.333,98.333,95.278,96.111,72.778,80.556,97.778,99.444,98.611,98.333,98.056,94.722,96.667,97.778,98.889,98.889,98.889,96.944,97.222,97.778,87.778,48.889,51.944,54.167,80.833,97.5,97.778,97.222,91.389,36.944,G
8,93.333,97.778,98.889,98.889,99.167,98.889,98.889,98.056,94.444,96.667,97.778,98.889,98.611,99.444,98.611,98.333,97.778,95,95.278,98.333,98.333,98.889,98.889,98.889,98.333,97.5,92.5,47.778,91.389,98.056,98.611,97.778,81.389,78.333,96.944,59.167,40.556,47.222,53.333,58.333,62.222,66.667,75.833,95,55.833,36.944,41.667,47.5,51.944,55.833,61.389,90,93.889,56.389,33.889,37.5,42.778,46.667,50.833,56.111,90,93.889,57.778,31.389,34.722,38.333,42.222,45,50,62.778,95,62.222,28.333,30.833,33.889,36.667,39.444,42.5,48.611,95,95.556,H
9,38.611,92.778,73.333,53.333,46.667,42.5,39.167,34.167,30,47.222,92.778,75.278,60.278,53.889,49.722,45.278,39.167,34.167,51.111,93.333,71.111,65.278,59.444,56.111,51.944,46.389,38.889,89.167,93.611,73.333,68.889,65.278,63.056,58.889,55.556,47.778,93.889,97.778,98.889,98.889,99.444,98.889,98.889,98.333,96.667,96.667,97.222,96.667,72.222,64.444,60.278,56.667,53.056,44.722,96.667,97.222,96.111,68.056,57.222,51.944,48.889,44.167,37.222,96.667,97.222,95.556,55.556,50.278,45.833,42.5,38.333,33.056,93.333,95,52.778,46.111,42.778,40.278,37.222,33.056,28.889,I
10,93.889,96.944,95.278,46.667,42.5,38.889,35.556,32.5,28.889,61.944,73.056,96.111,96.667,88.889,44.722,40.278,36.111,32.222,58.333,66.389,71.667,77.5,94.444,95.556,47.778,39.444,35,56.389,64.444,70.833,76.111,80.556,94.722,96.389,77.222,38.056,55.556,63.889,72.222,78.056,82.222,85.833,92.5,95.278,49.167,56.667,67.778,91.944,97.778,98.056,98.333,91.667,96.667,90.833,60,96.667,98.333,91.389,87.222,90.278,98.889,98.333,96.389,93.333,96.944,96.667,93.333,86.389,75.833,70,97.222,87.222,35.278,50,93.333,96.667,95.833,63.333,51.389,45,35.278,J
