rank,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,class
1,29.444,31.944,35,37.778,44.444,59.444,93.056,95,94.722,33.056,36.111,39.444,74.167,91.389,91.667,91.667,91.944,91.111,36.944,41.667,72.5,91.667,92.222,91.389,91.111,92.5,91.389,43.056,72.5,90.556,92.5,91.389,91.944,93.889,93.889,93.889,68.056,89.167,93.333,93.333,94.444,93.611,95.278,93.611,92.5,87.778,92.222,94.444,93.333,94.444,94.167,93.333,93.889,91.389,92.222,93.611,94.167,95.278,94.444,94.722,94.444,93.889,82.778,93.056,94.444,94.722,95,95,93.889,93.333,84.167,38.889,93.333,95.833,95.278,96.111,95.833,94.444,84.167,41.389,34.444,A
2,40.278,76.944,94.167,95.833,96.389,96.389,96.944,96.944,95,90.278,95,96.389,96.667,96.111,96.389,96.389,96.111,93.611,94.444,96.111,96.389,96.667,97.5,97.222,96.389,95.833,93.611,92.778,96.111,96.667,96.667,97.222,96.944,94.444,88.611,79.167,46.389,92.5,95.278,94.444,79.167,66.667,67.222,70.278,75.278,38.611,44.444,50.833,55.278,58.889,62.222,65,69.722,73.611,33.056,40.556,43.333,49.444,53.611,59.167,63.056,70.556,74.444,31.389,35.833,38.889,43.889,47.778,52.778,59.444,70.278,59.444,28.611,32.5,34.444,38.889,41.389,46.667,53.889,68.333,60.278,B
3,73.611,91.667,83.056,83.333,83.611,83.333,78.889,37.5,31.389,60.278,72.778,76.389,80,81.667,83.056,74.167,43.056,36.389,54.444,67.222,73.333,78.056,80.556,82.5,72.778,47.222,40.556,54.444,65.556,72.778,76.944,81.111,81.389,61.667,50.556,43.611,57.5,66.667,73.333,78.056,78.889,71.667,59.722,52.5,46.389,62.778,71.944,76.944,78.611,80.833,68.056,61.111,54.167,48.611,92.778,95,94.167,87.5,75.556,70.278,64.444,58.333,52.5,93.889,71.111,59.444,90.833,76.111,71.389,66.111,61.944,55.833,45.833,50,51.944,54.444,87.5,71.944,69.444,65.833,60.556,C
4,94.167,82.778,81.111,82.5,84.167,84.722,93.889,86.111,43.611,65.556,73.333,76.944,80.278,82.5,86.111,88.333,88.611,77.5,60.833,68.889,75,78.056,85.833,88.889,88.889,81.111,58.889,60,68.333,73.889,89.444,95,95.278,93.056,80.278,68.056,58.889,67.5,73.611,81.111,87.222,89.722,91.389,91.389,88.056,61.667,70.833,76.667,80.833,83.611,87.778,90,91.111,88.889,72.5,93.056,95.833,87.5,85.833,86.667,88.889,88.056,75.278,93.333,96.389,96.944,96.111,95.833,94.444,86.389,76.667,66.111,43.056,73.333,53.056,53.333,54.722,88.889,82.778,76.111,67.5,D
5,86.389,79.167,59.167,53.333,54.167,62.5,91.667,91.944,56.667,93.889,77.5,69.722,65.278,65.556,69.444,80.833,88.889,89.722,68.889,91.111,74.722,73.056,73.056,74.444,80.278,84.722,87.5,56.111,66.389,90.278,95.278,84.167,80.833,85,88.333,95.278,53.611,61.389,69.444,75.556,81.111,90.278,94.167,91.111,77.5,51.667,60.278,67.5,75,83.056,93.333,95.556,95.278,90.833,50.278,60,68.333,90.278,95.556,96.389,97.222,95.833,94.167,49.167,63.333,88.889,95.278,96.667,96.389,96.389,95.833,92.778,47.778,89.167,95.556,96.389,96.667,96.111,95.833,92.222,52.778,E
6,42.222,60,89.722,69.722,56.667,52.778,52.5,53.611,61.944,49.722,63.611,92.222,74.444,67.5,63.333,64.444,95.833,94.444,58.611,92.222,84.167,77.778,73.611,71.667,89.722,95.556,94.167,91.389,88.333,83.889,81.111,77.5,77.778,95.278,94.444,89.444,88.056,86.944,84.444,82.5,81.667,81.944,91.389,64.167,52.778,57.778,61.667,64.444,67.222,72.5,87.778,63.056,56.111,48.889,42.5,50.556,57.778,62.5,69.444,86.111,58.056,51.944,44.722,36.944,43.611,50.278,56.111,70.556,71.944,55.833,47.778,41.389,32.222,36.667,43.056,49.722,58.889,75.556,54.722,43.611,36.111,F
7,73.889,88.889,91.389,94.167,90.833,58.333,42.5,37.222,31.944,88.056,88.889,86.667,82.778,75,62.5,49.722,42.5,36.389,87.778,85.833,81.944,78.889,73.056,64.722,56.667,50.556,43.056,85.833,87.222,86.111,87.5,94.167,91.111,64.167,58.611,52.5,59.167,90.556,95.556,96.389,96.667,95,71.944,66.111,61.944,45.833,85.278,93.056,93.611,90.833,86.111,77.778,79.444,93.333,37.778,66.944,91.389,91.111,88.889,86.667,83.611,94.167,84.167,34.722,39.444,50,59.167,92.5,85.556,78.889,60.833,48.611,29.444,33.889,37.5,45.278,53.889,63.611,82.5,50.833,40.833,G
8,83.333,76.667,60.278,52.222,48.611,43.889,38.333,34.722,31.389,83.889,74.444,67.222,61.667,62.5,93.056,80.278,41.944,36.667,81.389,75.833,72.778,75,93.333,94.167,89.722,56.111,45.278,89.444,79.722,79.722,92.778,93.056,95,91.111,66.111,57.222,81.667,81.111,82.5,90.556,92.5,94.167,91.667,71.389,63.056,84.444,84.444,85.278,90.556,94.722,95,95.556,94.167,64.444,84.444,86.111,84.444,89.444,91.944,90.556,62.222,54.444,48.056,85.833,86.111,86.111,89.722,92.222,87.778,52.5,45.556,39.167,88.056,88.889,89.722,91.389,91.111,59.722,43.333,40,34.167,H
9,28.889,31.667,34.722,38.056,42.5,84.722,85,69.167,43.056,31.111,35,39.444,44.722,85.556,75.556,69.167,60.556,47.5,33.889,39.444,43.889,81.667,75,71.944,66.111,58.056,50.278,37.5,43.889,54.722,80.556,74.444,71.111,65.278,58.333,51.944,41.667,55.833,83.611,77.5,75.278,70.556,66.389,60.556,53.889,55.556,86.944,80,78.611,76.111,72.778,68.889,63.056,56.667,86.667,82.222,81.389,78.611,76.111,74.167,70.556,66.667,60.278,85.556,82.5,81.111,80,78.056,76.389,73.333,71.389,67.5,81.389,81.389,80.833,80.556,78.889,78.056,78.889,81.667,93.333,I
10,36.389,41.111,57.5,92.222,95.278,95.278,95.833,96.111,94.444,53.889,91.389,94.444,95.833,96.111,94.167,95.833,95.278,94.444,87.222,93.611,95.556,95.833,96.389,96.389,96.111,95.833,93.611,85.278,84.167,81.389,81.111,78.611,75.278,71.111,66.111,59.722,84.444,83.889,81.111,80,76.389,71.667,66.111,60.833,53.056,84.444,85,83.611,80.833,77.222,72.778,65.556,58.056,50,50.833,63.611,84.444,83.056,79.444,73.056,66.389,57.222,48.056,44.444,54.444,64.722,76.111,87.5,79.722,69.722,55,44.722,37.222,45.556,61.944,78.056,83.611,86.667,85,50.833,37.778,J
