attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,class
97.778,98.056,98.333,98.333,99.444,98.333,98.611,98.889,97.222,A
74.444,84.167,44.167,70.278,82.222,86.944,97.222,98.056,98.333,B
64.444,57.778,41.111,95,94.444,66.944,94.722,96.111,68.611,C
67.222,55,42.5,76.111,74.444,97.5,89.167,93.889,97.5,D
98.889,99.167,97.778,97.778,98.333,68.611,69.167,98.333,97.778,E
98.056,96.111,80.556,95.556,81.389,63.889,96.944,98.333,43.889,F
47.5,94.444,50.556,60,97.778,98.333,78.889,98.056,98.056,G
98.889,99.444,97.778,50.278,62.222,93.056,38.611,48.333,92.5,H
90.833,57.222,45.556,88.333,98.889,98.889,97.778,54.722,44.722,I
71.111,95.278,40.278,67.778,81.667,95.278,98.056,87.222,98.611,J
98.333,98.889,95,97.778,99.444,98.056,96.667,98.611,98.333,A
97.222,55.556,42.778,68.056,82.778,90,97.222,98.889,91.667,B
82.778,85.556,53.611,71.944,94.444,57.778,93.333,78.056,65,C
68.611,68.333,96.667,91.944,83.333,90.278,38.889,86.389,88.056,D
97.778,98.333,98.056,96.111,98.333,93.889,98.889,98.889,96.667,E
96.667,98.333,96.944,98.056,98.889,82.778,98.333,99.167,97.778,F
57.222,79.444,52.5,78.611,81.389,65.556,88.889,86.944,94.444,G
98.333,98.889,97.778,56.111,68.056,96.111,41.667,55.556,96.111,H
68.889,55.556,46.389,79.444,68.056,60.833,95.556,54.167,43.611,I
65.833,93.611,48.333,56.389,70.833,83.056,50.556,96.667,97.222,J
97.778,98.333,98.333,98.333,99.444,98.333,98.333,98.889,98.056,A
76.389,91.944,50.833,71.389,96.944,77.778,97.778,97.222,90,B
91.389,97.778,42.5,73.611,93.056,54.167,79.444,81.667,76.944,C
76.667,98.889,94.444,86.389,98.333,97.778,96.111,95.833,97.778,D
98.333,98.889,98.889,93.889,98.056,70.278,98.889,98.889,67.222,E
98.333,97.5,95,97.222,97.778,81.389,98.056,98.611,88.333,F
75.833,97.778,50,85.833,96.667,68.056,98.056,93.611,97.778,G
98.333,98.611,97.778,98.056,66.111,72.222,42.5,51.389,63.333,H
67.222,57.5,50,94.444,69.722,57.5,97.222,58.056,42.222,I
71.944,84.444,95,60.833,98.333,94.167,56.389,87.778,97.222,J
95.556,98.889,98.889,97.778,98.889,98.889,98.611,98.889,96.944,A
82.778,83.889,93.611,65.833,82.5,92.222,96.111,98.889,98.333,B
97.5,93.056,41.111,69.167,71.667,53.056,97.5,98.889,98.889,C
70.833,97.222,97.778,82.5,93.611,98.333,96.389,90.833,98.056,D
87.5,98.611,98.333,86.389,97.222,68.333,98.889,98.889,96.667,E
98.889,98.611,88.889,97.778,89.722,80.833,98.056,97.778,97.222,F
73.056,77.778,52.222,83.333,96.389,73.333,96.667,96.667,97.778,G
