attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,attr_77,attr_78,attr_79,attr_80,attr_81,attr_82,attr_83,attr_84,attr_85,attr_86,attr_87,attr_88,attr_89,attr_90,attr_91,attr_92,attr_93,attr_94,attr_95,attr_96,attr_97,attr_98,attr_99,class
33.056,39.722,65.833,93.889,95.556,96.667,96.667,96.111,95,85.556,40.278,41.111,75,94.167,95.833,97.222,97.222,97.222,97.222,96.111,93.333,70.833,56.111,91.667,95,96.667,97.222,96.667,97.222,97.222,96.667,95,87.222,90,95,96.111,96.944,97.222,97.778,97.778,97.778,97.222,95.556,91.944,90.833,94.444,96.111,96.389,97.778,96.944,96.667,97.778,96.667,96.111,94.444,93.611,95,96.389,97.222,97.5,97.5,96.667,97.222,96.389,95.833,93.889,92.5,95.278,96.667,97.5,96.667,97.5,96.944,96.944,96.389,94.444,90.556,91.111,95.278,96.944,96.944,97.778,97.222,97.222,97.222,95.833,93.333,74.444,85.556,95,96.667,97.222,97.222,97.222,97.222,96.667,95,85.278,38.056,A
91.667,92.222,81.944,68.333,54.722,48.611,43.889,40.278,36.944,33.889,30.556,66.667,72.222,75.556,78.333,91.111,86.111,53.611,48.056,42.5,38.611,35.278,58.611,66.389,71.667,75.833,78.611,80.833,81.944,90,75.833,43.611,38.611,55,62.222,68.889,73.611,77.222,80,82.5,83.333,84.722,87.5,51.111,53.611,61.667,68.333,72.778,77.222,79.444,81.944,84.167,85.278,84.722,84.722,54.167,63.333,70.278,75,79.444,81.667,83.333,85.833,86.667,86.944,90,57.5,70.278,77.222,80.556,83.333,94.722,96.111,96.944,96.944,96.389,94.444,79.444,93.889,96.111,96.389,96.944,96.667,97.222,96.944,96.389,94.444,86.389,40.556,77.5,94.167,96.389,96.667,97.222,96.944,95.833,93.056,57.222,37.778,B
72.778,57.778,51.667,48.056,45.556,43.611,39.722,36.111,31.667,28.889,26.389,90.278,85.833,60.278,57.222,54.444,52.778,50,46.667,38.889,31.944,28.889,63.056,93.056,95.556,90,62.778,65.278,96.389,95.278,89.722,45,32.5,53.611,63.333,78.056,91.389,95.278,96.667,94.167,94.167,92.222,79.722,41.389,49.722,61.667,77.222,86.944,90.556,91.944,92.5,91.389,87.778,59.722,47.5,46.667,65,91.667,95.278,96.111,96.111,95.278,91.389,71.111,60,51.389,40.556,75.278,93.611,95.556,95.833,94.722,89.167,75.833,68.611,61.944,54.167,30.833,35.833,86.667,68.056,56.111,80,93.056,86.667,72.222,65.278,58.056,27.5,30.833,38.056,43.056,46.389,48.611,50.278,54.167,90.556,90.278,66.667,C
78.333,70.278,57.222,48.889,44.167,42.222,38.889,36.667,34.167,31.944,28.333,74.167,70,63.611,57.5,52.778,49.444,45.833,42.5,39.444,35.278,31.389,85,71.111,66.667,61.944,59.167,56.389,53.611,50.556,46.111,41.667,36.111,87.222,71.944,69.444,66.667,63.611,61.111,59.722,60.278,72.778,62.5,43.333,79.722,73.056,73.333,71.667,70.278,69.722,71.111,90.833,96.111,94.444,91.389,53.056,88.611,75.833,75.833,77.222,96.111,95.278,96.667,96.111,96.111,94.722,41.944,74.444,85,79.722,83.889,91.111,93.056,95.556,94.444,95.278,94.167,34.722,44.167,80,81.667,86.389,89.444,94.722,94.444,94.722,93.333,90.278,31.389,35.278,49.722,91.389,87.222,91.111,95,95.278,94.722,91.111,54.167,D
85.833,95,96.667,97.222,97.778,97.778,97.778,97.778,97.222,96.667,95,93.611,96.111,97.222,97.778,97.778,98.333,97.222,97.5,96.667,95.833,94.444,92.778,95.556,97.222,96.944,97.222,97.5,97.222,96.389,95.833,94.167,88.333,93.056,96.111,97.222,97.5,96.667,97.222,96.667,95.556,94.167,84.444,58.889,91.667,95.833,96.667,96.944,96.944,96.389,94.722,86.944,74.444,65,56.389,57.5,93.056,95.556,96.389,96.389,94.722,91.944,81.667,76.111,66.667,55.278,44.167,53.056,91.667,95.833,96.111,96.667,96.389,92.5,95,85.556,57.5,39.722,46.111,55.278,92.222,95.556,96.667,97.222,96.667,96.111,93.333,63.889,34.722,39.722,46.667,87.222,94.444,96.111,96.111,95.556,92.778,57.5,35.833,E
33.333,41.944,85,93.889,95.556,96.111,95.833,93.611,75.278,45,38.056,42.222,89.444,95,96.944,96.667,96.389,95.556,95.833,93.611,85,46.389,80.833,92.778,95.556,95.278,95.556,93.333,81.389,75.556,75.833,75.556,86.111,89.444,93.889,94.167,93.611,92.778,84.722,75.278,72.5,67.5,64.722,61.111,91.389,93.056,92.222,91.389,87.222,79.167,75,71.667,65.556,60.556,54.722,90.556,92.222,92.222,91.667,85.278,80.556,74.722,69.444,61.667,53.889,46.667,91.111,93.333,92.778,91.944,86.667,84.167,79.444,70.833,57.778,48.056,41.111,91.389,95.556,95.278,94.167,93.889,93.611,92.5,84.722,51.111,40.556,36.389,85,94.167,95.278,95,94.722,93.056,87.778,45.833,38.056,35,31.944,F
30,32.5,36.667,41.667,50.556,86.389,84.167,52.222,42.5,36.667,32.778,34.722,38.333,42.778,48.056,83.611,90.833,82.5,58.333,50,43.056,38.056,38.056,42.222,47.5,54.722,88.333,90.556,75,64.444,57.5,48.611,42.5,40.556,46.111,51.111,69.722,91.389,91.667,74.722,70.833,66.944,62.222,47.778,44.722,50.833,56.944,87.222,95,93.056,85.278,96.667,96.111,95,86.944,49.722,56.667,62.5,87.222,95,96.667,96.667,97.222,96.667,96.667,94.444,60.833,65,69.167,90.833,95.556,96.389,96.111,96.944,96.667,96.667,95,91.944,95.278,78.056,82.222,89.444,95.278,95.833,97.222,96.389,95.556,93.056,93.056,69.167,93.889,97.5,97.5,97.778,97.778,97.222,96.944,95.278,89.722,G
51.667,90.833,95.833,96.944,97.5,97.778,97.5,97.778,97.222,95.833,93.333,93.333,95.556,97.222,97.778,97.778,98.333,97.222,97.5,96.389,95.833,93.611,91.111,95,96.944,97.222,97.778,97.778,97.222,97.778,96.389,95.833,93.056,50.833,90.556,95.278,96.667,96.944,96.944,96.944,97.222,79.722,92.778,89.444,39.167,46.389,51.111,56.111,59.722,61.667,65.278,68.056,73.889,91.111,85.278,36.111,41.111,45,49.167,52.5,55.556,60,63.611,78.056,88.056,72.778,33.333,37.222,41.389,44.444,48.333,51.111,54.722,59.167,80.833,89.444,62.5,30.833,34.167,37.222,40.278,43.611,45.833,49.722,53.889,61.944,88.333,68.611,27.778,31.111,33.333,36.389,38.611,41.111,44.167,47.778,55.278,89.167,86.944,H
35.556,61.111,87.222,62.778,52.5,46.667,42.778,39.722,36.944,34.444,31.111,43.056,61.111,87.222,65,59.444,54.167,49.444,46.389,43.056,39.167,35.278,46.944,72.222,85.556,67.778,63.889,59.444,55.556,52.5,49.444,45,40.556,53.611,88.889,80.556,70.833,68.056,64.167,61.667,58.889,55.833,52.778,47.778,79.444,90.556,76.667,72.778,69.722,67.778,65.556,64.444,62.5,63.333,75.556,90.278,95.278,96.111,96.389,95.833,88.889,64.444,61.944,59.722,58.056,56.111,92.222,94.444,94.444,91.667,72.778,62.5,58.611,54.722,52.222,48.611,43.056,92.778,95,95,92.222,75,55.278,51.389,47.5,45.556,41.389,36.944,92.222,94.444,93.889,85,52.222,48.333,45.556,42.778,40,36.944,32.778,I
85.556,92.778,90,55.833,46.111,42.778,40,37.222,35,32.222,29.722,60,70.278,86.667,93.333,92.5,65,46.667,42.5,38.889,36.111,32.778,55.833,63.056,68.056,73.056,76.389,87.5,90.833,64.444,44.722,39.444,36.111,54.722,60.833,66.667,71.111,75,78.333,81.389,91.944,89.167,51.667,39.722,53.056,60,66.111,71.111,76.111,78.889,82.222,84.167,89.722,90.833,69.444,53.056,60.556,67.778,74.444,80.556,84.167,85.833,87.222,88.056,89.722,90.278,55,67.778,85.833,95,96.667,97.222,97.222,97.222,97.222,96.667,95.556,61.111,89.167,95.278,92.5,90.833,87.778,82.778,79.167,96.944,96.111,93.333,56.667,92.778,95.278,95.833,95,92.778,82.5,68.056,60.833,61.111,54.722,J
