attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,class
80.556,98.333,98.333,98.333,94.444,96.944,98.889,97.778,98.889,96.944,97.5,97.778,99.444,97.778,98.333,97.778,98.611,98.333,97.778,97.222,97.778,98.889,98.889,98.333,88.889,A
88.333,97.222,62.778,44.167,36.667,65.833,76.389,81.944,94.722,47.778,63.056,74.444,81.667,85.833,90.833,70.833,83.056,98.056,98.333,97.5,95.556,98.889,98.333,98.333,51.944,B
86.944,55.556,50.556,40.556,31.389,93.333,98.333,98.333,98.333,41.389,62.778,96.944,94.167,96.111,54.722,86.667,97.778,96.944,73.611,59.167,32.5,47.5,52.5,96.111,83.889,C
71.111,55.278,48.333,41.111,34.722,73.333,66.111,61.389,55.833,43.889,76.667,74.444,71.944,97.778,97.222,86.389,82.5,98.333,98.889,97.222,38.056,96.667,93.889,96.667,94.444,D
98.333,98.889,99.444,98.611,97.778,97.778,98.889,98.889,97.222,93.333,97.778,98.333,98.333,79.444,61.389,54.167,98.056,98.333,90.556,74.444,42.778,95,97.778,97.778,48.611,E
93.056,98.333,97.778,98.056,48.889,96.667,97.5,95.556,75.833,74.167,96.667,95,81.389,70.833,60,96.944,95.556,85.833,67.5,46.667,97.5,97.5,97.222,48.056,35.833,F
37.778,49.167,95.556,54.444,40,45.278,59.167,94.722,66.944,49.444,53.056,95,97.778,98.333,96.944,65.556,94.167,98.333,98.333,98.333,97.778,98.889,98.889,97.222,97.778,G
97.778,98.889,99.444,98.611,97.778,97.778,98.056,98.333,98.889,97.222,45.556,55.833,62.5,70.278,94.444,38.333,46.111,52.5,61.944,93.333,33.056,38.889,44.167,52.222,94.444,H
71.111,65,51.944,45.278,36.667,92.5,69.722,61.944,55.556,47.5,97.222,98.889,98.611,98.889,98.333,97.222,93.611,61.944,55,47.222,97.222,93.333,50.278,44.167,36.944,I
93.889,96.667,48.611,40.556,34.444,62.778,72.5,88.611,94.722,40.278,60.833,73.333,80.833,86.389,94.167,67.778,97.778,98.889,98.889,98.333,96.667,96.667,87.5,70.833,97.222,J
