Attr_1,Attr_2,Attr_3,Attr_4,Attr_5,Attr_6,Attr_7,Attr_8,Attr_9,Attr_10,Attr_11,Attr_12,Attr_13,Attr_14,Attr_15,Attr_16,Attr_17,Attr_18,Attr_19,Attr_20,Attr_21,Attr_22,Attr_23,Attr_24,Attr_25,Attr_26,Attr_27,Attr_28,Attr_29,Attr_30,Attr_31,Attr_32,Attr_33,Attr_34,Attr_35,Attr_36,Attr_37,Attr_38,Attr_39,Attr_40,Attr_41,Attr_42,Attr_43,Attr_44,Attr_45,Attr_46,Attr_47,Attr_48,Attr_49,Attr_50,Attr_51,Attr_52,Attr_53,Attr_54,Attr_55,Attr_56,Attr_57,Attr_58,Attr_59,Attr_60,Attr_61,Attr_62,Attr_63,Attr_64,Attr_65,Attr_66,Attr_67,Attr_68,Attr_69,Attr_70,Attr_71,Attr_72,Attr_73,Attr_74,Attr_75,Attr_76,Attr_77,Attr_78,Attr_79,Attr_80,Attr_81,class
25.833,35.278,69.722,88.889,85,83.611,87.222,85.556,45.833,32.778,64.167,84.444,82.5,80.278,81.111,82.5,82.222,80.278,44.722,81.389,82.5,78.056,79.722,78.333,75.833,76.111,80.556,78.611,81.389,79.444,79.167,78.056,77.778,76.944,77.5,75.278,75.556,78.056,79.722,80.556,80.278,78.889,77.222,75.833,75.278,76.944,79.444,79.444,78.889,79.167,78.889,78.333,77.222,80,81.111,80.833,79.167,81.111,79.167,77.5,81.667,82.5,83.333,79.444,82.5,83.889,83.333,80.556,80.556,85,81.667,78.333,53.611,86.389,85.833,85.278,85.556,86.944,85.833,75.833,39.167,A
26.111,39.444,69.722,86.667,86.944,85.833,83.056,85.833,56.389,35.556,76.667,84.444,81.944,80.833,79.444,79.167,81.667,81.667,48.056,82.222,82.222,78.333,77.778,77.222,76.944,75.556,82.222,76.667,79.722,78.056,76.667,77.778,76.944,76.944,78.056,74.444,75.278,78.056,79.722,80,79.444,79.722,78.889,78.056,75.556,73.889,78.889,78.889,76.389,78.333,77.5,77.5,76.944,79.444,81.667,80.556,79.167,77.222,80,79.167,78.889,80.278,78.611,78.611,82.5,82.222,81.111,80,82.5,83.889,83.333,83.056,51.389,85,84.167,85.278,83.889,83.056,83.889,79.444,49.167,A
25.833,35.833,69.722,83.333,86.111,85.278,84.167,81.389,58.889,34.167,69.167,83.889,81.111,79.167,78.889,76.111,78.611,82.778,53.056,79.444,81.389,79.722,79.444,77.778,79.722,78.889,75.556,72.222,79.444,78.889,80,78.889,77.778,76.667,76.944,76.667,75.833,74.167,76.111,77.5,76.111,78.333,75.833,76.944,78.056,70,72.778,73.889,76.389,79.167,78.333,77.778,78.056,81.667,74.444,76.111,75.833,76.944,76.111,79.167,81.111,82.222,79.167,69.722,79.444,75.833,80.833,78.611,80.278,82.5,86.111,78.889,65.556,85,85,81.389,83.611,81.667,83.889,70.833,36.389,A
28.889,37.5,81.389,79.722,85.833,84.444,88.056,85.278,69.444,35.278,81.667,82.5,79.167,79.167,78.611,81.111,82.5,81.389,56.944,80.833,80,77.5,76.111,77.5,78.056,77.5,84.722,77.5,80.278,78.611,77.222,76.944,76.111,76.111,78.611,77.222,74.444,79.444,79.722,78.333,78.056,78.333,78.889,77.5,76.667,76.944,78.889,79.167,77.5,78.611,78.056,78.056,77.778,80.833,80.833,81.111,78.611,77.5,79.167,77.778,77.778,79.444,83.333,79.722,83.889,83.889,80.833,79.167,80.833,83.056,81.944,81.111,68.611,86.111,86.667,85,83.333,81.389,82.5,83.056,40,A
28.056,39.167,81.389,82.778,86.111,86.111,86.944,87.5,74.722,40,80.556,83.056,83.056,82.5,80.278,81.111,82.778,80.833,67.222,84.167,82.222,80.833,78.889,79.167,76.389,76.667,80,77.5,81.389,81.944,81.944,79.444,77.5,77.222,77.5,73.611,76.111,80.556,81.111,81.667,80,81.111,80,77.778,76.111,75,79.444,80.278,80.278,82.5,81.389,79.444,79.722,81.111,82.5,79.167,76.389,76.944,78.611,79.722,80.278,83.333,84.444,80.278,81.111,82.222,80.278,80.556,82.222,83.889,84.167,83.333,78.611,85,84.167,84.444,82.778,82.5,83.611,83.056,43.611,A
29.444,43.333,85,85.833,88.056,86.944,88.056,88.611,83.889,44.722,83.333,84.444,82.5,83.056,82.5,83.056,83.889,82.5,78.889,83.611,82.222,84.444,79.167,79.444,78.889,79.444,79.722,80.833,83.333,81.667,81.667,79.722,80.278,78.333,77.222,76.111,75.833,81.667,81.667,82.5,83.056,81.389,79.167,79.722,78.333,77.5,78.889,81.944,81.667,80.833,80.556,80.556,81.944,82.5,83.056,80.556,78.889,79.444,81.389,83.889,81.944,83.333,83.889,81.389,79.722,80.556,80.556,82.5,83.056,85.556,85.278,85,77.778,85.833,84.167,85.278,85,83.056,86.389,86.389,45.278,A
31.111,48.889,87.5,86.111,86.667,87.778,86.111,87.222,85.556,50.556,84.167,84.722,83.611,81.111,81.944,81.389,81.111,84.722,84.167,84.722,83.611,81.389,78.611,78.333,79.722,78.056,78.889,87.222,82.5,83.056,80,81.111,80.556,80,78.333,77.5,85,80,79.167,80.556,81.944,80.833,79.722,80.833,79.444,78.056,78.611,80.278,81.389,79.722,80,80.556,80.556,81.389,81.667,80,80.556,79.444,83.056,81.667,82.222,83.611,84.167,82.778,83.056,84.167,80.556,83.333,84.167,85,84.444,84.722,82.5,86.389,88.611,84.444,85.556,84.722,85.833,84.167,57.778,A
29.722,45.278,83.889,85.556,88.056,86.667,85.833,88.056,84.167,43.333,83.611,84.722,81.389,82.5,81.944,83.056,81.389,83.056,78.056,84.167,81.667,82.222,80.278,79.167,79.167,81.667,80.833,78.611,84.167,82.5,83.056,79.722,80.278,79.444,77.778,75.833,77.778,78.333,78.611,81.667,81.667,80.833,78.611,80.833,78.889,76.111,77.222,80.556,81.389,80.556,80,80.556,80.556,81.944,79.444,80,78.889,80,81.111,83.611,81.944,83.889,83.056,81.667,81.111,80.556,79.722,82.778,82.5,85.278,84.444,85,77.222,85.833,84.722,85.556,85,85.833,86.944,85.278,46.111,A
29.167,43.056,66.111,86.944,84.722,83.056,85.833,86.944,81.111,40.556,85,82.5,81.667,82.5,78.056,80.278,80,84.722,73.056,84.722,81.944,81.111,78.333,78.611,78.056,77.778,81.944,77.5,84.444,83.056,80.833,79.722,77.5,79.722,77.778,76.944,79.167,77.778,80,81.389,80.833,78.333,79.167,79.444,77.222,75.278,79.167,79.444,78.611,81.389,78.889,80,79.167,82.222,78.889,81.389,78.333,78.056,81.389,81.667,82.5,85,82.222,82.222,83.611,83.889,82.5,81.389,81.667,84.167,85,83.056,70.278,86.389,85.278,83.889,83.611,85,85.833,79.444,47.222,A
27.778,39.167,65.556,86.667,86.944,86.944,85.556,85.556,78.333,35.278,85,78.611,79.167,80.833,79.444,80,81.389,80.833,71.111,80.556,80.833,78.889,78.889,77.222,77.222,78.611,79.722,75.556,81.111,80.278,78.889,77.222,76.944,78.333,76.944,76.944,79.167,76.944,77.778,76.667,78.056,78.056,78.889,78.889,77.778,72.778,76.667,79.167,76.667,78.889,78.889,78.611,79.722,81.667,78.333,79.444,77.5,77.5,79.444,79.722,79.167,84.722,81.944,76.944,83.611,80.833,78.889,79.444,80.556,80.833,85,82.5,52.778,84.167,85.278,84.167,85.278,82.778,80.833,71.944,40.556,A
