attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,class
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,6.0138,-1.9227,2.7955,2.8776,8.84,21.524,25.028,38.043,0,-0.88046,0,0,A
0,0.61502,17.98,1.9483,2.7255,8.1772,9.5111,9.3642,7.6612,9.775,19.724,16.301,21.524,43.511,0,0,0,0,0,B
0,0.61502,1.6832,2.4375,3.8403,4.8902,5.4125,6.812,13.866,9.775,12.553,16.301,0,0,0,0,0,0,0,C
0,16.938,19.64,1.9483,6.1439,3.626,4.6997,6.0138,7.6612,32.421,12.553,19.749,25.037,32.669,0,0,0,0,0,D
0,25.843,28.75,31.566,34.239,3.626,39.075,6.0138,38.126,9.775,12.553,16.301,26.854,36.134,0,0,0,0,0,E
0,0.61502,1.2553,1.9483,2.7255,-10.127,-7.4859,6.0138,7.6612,3.7539,12.553,16.301,21.524,29.111,0,0,0,0,0,F
0,0.61502,1.2553,1.9483,21.456,35.217,19.008,36.683,27.504,29.473,28.462,31.944,35.165,40.813,52.302,0,0,0,0,G
0,15.211,1.2553,1.9483,3.7619,5.9181,7.2083,6.0138,12.019,12.847,15.767,16.301,24.941,0,-0.11739,0,0,0,0,H
0,0.61502,1.2553,1.9483,2.7255,3.626,2.4426,4.0017,5.8642,8.1644,4.8127,9.2789,15.098,23.172,40.819,0,0,0,0,I
0,0.61502,5.3844,1.9483,2.7255,3.626,9.7169,6.0138,7.6612,14.384,30.231,16.301,21.524,29.111,0,0,0,0,0,J
0,21.053,23.97,26.955,29.957,9.4876,14.048,6.0138,33.158,9.775,21.446,25.287,21.524,39.941,48.02,0,0,0,0,A
0,0.61502,2.0811,3.8057,6.8711,19.671,4.6997,6.0138,19.281,15.92,12.553,19.63,24.941,0,0,0,0,0,0,B
0,24.533,1.2553,1.9483,2.7255,3.626,4.6997,6.0138,7.6612,9.775,12.553,32.553,35.93,41.641,44.372,0,0,0,0,C
0,0.61502,1.2553,1.9483,2.7255,14.621,4.6997,7.1356,7.6612,11.093,15.362,0,0,0,0,0,0,0,0,D
0,0.61502,1.2553,5.0177,22.195,20.566,4.6997,39.894,41.895,36.857,37.713,37.662,39.096,46.43,0,0,0,0,0,E
0,0.61502,1.2553,1.9483,-6.7024,-7.9212,4.6997,6.0138,7.6612,9.775,9.3216,15.327,20.634,28.837,0,0,0,0,0,F
0,-11.839,-10.677,1.9483,2.7255,3.626,4.6997,2.7905,2.3434,5.7588,11.242,15.115,20.442,28.363,40.354,0,0,0,0,G
0,16.938,1.2553,2.9762,5.0045,6.1268,8.7708,6.0138,15.377,27.568,46.105,21.472,26.794,34.448,0,0,0,0,0,H
0,27.078,29.927,1.9483,2.7255,34.118,11.69,13.147,41.895,15.191,44.902,48.342,35.582,0,0,0,0,0,0,I
0,0.61502,14.555,1.9483,2.7255,3.626,4.6997,6.0138,7.6612,14.843,12.553,0,0,0,0,0,0,0,0,J
0,-16.872,-5.6647,0.41493,2.0479,3.626,-3.2322,-3.3506,-0.65906,3.4618,8.5509,13.888,19.872,27.843,39.873,0,-0.20544,0,0,A
0,3.3561,21.716,7.628,2.7255,3.626,4.6997,6.0138,7.6612,9.775,12.553,16.301,21.524,0,0,0,0,0,0,B
0,34.321,34.909,36.79,38.364,39.672,40.794,34.678,32.38,28.807,29.438,29.451,32.713,40,0,-0.88046,0,0,0,C
0,15.211,17.772,20.522,5.8347,3.626,12.225,12.802,7.6612,31.282,15.767,17.966,24.941,34.334,46.11,0,0,0,0,D
0,32.716,34.909,36.79,38.364,39.672,40.794,41.844,42.974,44.379,41.258,34.382,37.509,44.666,0,-0.88046,0,0,0,E
0,31.716,34.085,36.168,37.957,39.481,40.806,36.637,27.281,29.081,17.71,21.338,26.436,33.903,45.501,0,-0.88046,0,0,F
0,18.889,21.716,24.667,27.705,4.9843,4.6997,16.867,7.6612,9.775,35.122,25.146,32.262,29.111,49.846,0,0,0,0,G
0,17.885,20.654,23.568,8.6935,10.147,4.6997,10.525,9.2476,9.775,12.553,23.294,28.625,36.279,64.233,0,0,0,0,H
0,25.843,28.75,31.566,34.239,36.74,30.481,34.238,13.037,22.407,14.357,18.095,23.3,32.623,75.507,0,0,0,0,I
0,23.716,25.97,1.9483,2.7255,3.626,29.739,25.859,11.269,9.775,16.088,18.04,0,-0.88046,0,0,0,0,0,J
0,-8.6619,-4.2708,1.1296,2.7255,3.626,-2.6787,-4.0471,-1.2847,2.583,6.0904,11.102,19.447,25.827,39.287,0,-0.088046,0,0,A
0,0.61502,1.2553,1.9483,8.3958,3.626,25.549,6.0138,7.6612,9.775,12.553,16.301,21.524,0,-0.17609,0,0,0,0,B
0,-22.318,1.2553,1.9483,2.7255,3.626,4.6997,6.0138,7.1801,9.775,9.4593,13.5,20.244,28.225,39.992,0,0,0,0,C
0,0.61502,1.2553,1.9483,2.7255,2.2507,4.6997,-4.7987,-1.9613,2.8938,12.553,14.55,19.924,27.93,40.543,0,-0.70437,0,0,D
0,31.716,34.085,36.168,37.957,39.481,40.806,42.042,34.415,34.346,36.62,38.127,39.534,45.083,0,-0.90981,0,0,0,E
0,24.611,27.551,30.443,33.233,3.626,4.6997,6.0138,7.6612,9.775,36.027,16.301,21.524,29.111,42.577,0,-0.17609,0,0,F
0,16.938,19.64,1.9483,2.7255,3.626,4.6997,6.0138,7.6612,30.803,15.908,19.749,28.551,36.227,0,0,0,0,0,G
0,0.61502,1.2553,1.9483,0,-0.088046,0,0,0,0,0,0,0,0,0,0,0,0,0,H
0,30.635,33.161,35.432,37.428,39.165,40.699,6.0138,23.829,29.304,47.465,47.09,41.6,0,0,0,0,0,0,I
0,0.61502,2.2784,1.9483,2.7255,3.626,4.6997,6.0138,7.6612,9.775,14.289,16.301,43.001,48.922,57.067,0,0,0,0,J
0,-1.2142,0.44352,1.9483,2.7255,1.9508,4.6997,-2.7069,-0.081676,8.3935,7.2836,15.181,21.013,28.405,40.161,0,-0.35218,0,0,A
0,28.299,31.066,33.655,2.7255,3.626,4.6997,6.0138,7.6612,9.775,35.758,26.87,42.323,49.556,57.574,0,0,0,0,B
0,10.31,1.2553,1.9483,5.4573,3.626,7.2909,19.454,7.6612,16.688,12.553,16.301,22.921,0,0,0,0,0,0,C
0,29.491,32.149,34.59,36.782,38.727,4.6997,6.0138,14.877,38.427,12.553,40.635,21.524,29.111,0,0,0,0,0,D
0,0.61502,-11.579,-10.689,-9.5554,-7.345,0.93791,3.331,7.6612,-0.96275,2.8776,15.862,21.524,29.111,0,-0.41088,0,0,0,E
0,28.401,29.927,32.642,35.175,37.506,4.6997,6.0138,7.6612,9.775,12.553,28.762,21.524,29.111,47.647,0,-0.88046,0,0,F
0,0.61502,1.2553,4.0191,6.6279,11.516,4.6997,27.588,7.6612,9.775,12.553,23.51,33.595,0,0,0,0,0,0,G
0,11.262,1.2553,1.9483,2.7255,0,-0.088046,0,0,0,0,0,0,0,0,0,0,0,0,H
0,20.912,22.824,1.9483,2.7255,10.687,34.898,12.394,15.988,9.775,12.553,0,0,0,0,0,0,0,0,I
0,0.61502,23.613,22.558,24.372,3.626,4.6997,6.0138,29.33,31.385,16.123,33.915,31.924,44.445,40.819,0,0,0,0,J
0,0.61502,1.2553,1.9483,2.7255,-13.252,-10.348,-5.3881,7.6612,3.8693,8.6828,13.668,19.516,29.111,40.819,0,0,0,0,A
0,0.61502,2.5098,1.9483,2.7255,3.626,17.87,6.0138,7.6612,9.775,34.175,34.359,0,0,0,0,0,0,0,B
0,11.793,1.2553,4.7094,2.7255,3.626,4.6997,6.0138,7.6612,9.775,19.368,35.043,26.051,33.804,0,0,0,0,0,C
0,0.61502,1.2553,1.9483,2.7255,2.2507,-6.2673,-4.7987,7.6612,3.3239,12.553,16.301,20.244,27.93,40.819,0,0,0,0,D
0,24.533,26.345,29.29,2.7255,3.626,6.346,24.819,25.221,22.278,37.779,37.97,43.133,32.691,53.254,0,0,0,0,E
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,4.8517,7.6612,0.97669,12.553,16.301,21.524,26.244,40.224,0,0,0,0,F
0,0.61502,1.2553,6.8445,35.079,35.217,35.104,29.467,25.7,22.31,12.553,19.778,21.524,29.111,0,0,0,0,0,G
0,17.885,20.654,23.568,6.3063,7.5384,4.6997,10.525,10.834,14.74,12.553,21.546,21.524,29.111,42.62,0,0,0,0,H
0,28.299,31.066,1.9483,2.7255,38.172,11.784,18.59,13.078,45.792,46.467,40.961,42.323,0,0,0,0,0,0,I
