Attr_2,Attr_3,Attr_4,Attr_5,Attr_6,Attr_7,Attr_8,Attr_9,Attr_10,Attr_11,Attr_12,Attr_13,Attr_14,Attr_15,class
1.303,5.7903,13.248,6.6275,5.8481,8.0838,29.512,34.062,26.553,14.5,48.475,62.221,0,0,A
1.2885,4.9853,6.8071,-3.0309,6.2422,8.4259,11.128,30.721,36.172,32.344,22.167,57.248,60.712,0,A
1.303,5.7903,11.705,6.478,6.0452,8.2549,27.792,32.392,26.008,15.362,21.232,61.012,60.79,0,A
1.2885,4.9853,10.161,13.729,-3.1628,8.4259,11.128,30.721,36.172,32.344,22.167,57.248,77.476,90.209,A
1.2885,4.9853,10.161,-3.0309,6.2422,8.4259,26.072,30.721,25.463,16.224,23.841,59.802,66.488,90.209,A
1.2885,2.6584,6.8071,13.729,8.4673,8.4259,10.979,14.403,37.788,32.948,33.243,61.012,0,0,A
1.2885,4.9853,10.161,4.4465,6.2422,8.4259,27.792,20.564,26.008,15.362,23.046,45.037,0,0,A
1.303,5.7903,11.705,-4.7533,6.0452,8.2549,27.792,20.564,26.008,15.362,47.396,33.811,78.752,0,A
1.2885,4.9853,10.161,13.729,6.2422,8.4259,11.128,30.721,25.463,32.344,22.167,31.076,50.069,84.894,A
1.2885,4.9853,10.161,4.4465,6.2422,21.948,26.072,30.721,25.463,16.224,23.841,59.802,0,0,A
1.303,8.3419,11.705,6.478,6.0452,23.709,16.215,21.051,10.62,39.381,0,0,0,0,A
1.2885,4.9853,10.161,13.729,8.4673,8.4259,11.128,30.721,36.172,32.344,22.167,57.248,50.069,103.56,A
3.0712,6.899,10.161,-3.0309,6.2422,8.4259,26.072,30.721,36.172,32.344,41.333,31.076,44.812,103.56,A
1.303,5.7903,11.705,-4.7533,7.7202,8.2549,27.792,32.392,26.008,32.948,21.232,58.262,78.752,0,A
1.2885,2.6584,6.8071,13.729,8.4673,8.4259,11.128,30.721,25.463,32.344,22.167,31.076,50.069,84.894,A
1.303,5.7903,11.705,4.2197,6.0452,8.2549,27.792,32.392,26.008,15.362,21.232,61.012,66.98,0,A
1.303,5.7903,11.705,-4.7533,6.0452,8.2549,27.792,20.564,11.403,15.297,48.128,45.037,66.98,0,A
1.2885,4.9853,10.161,13.729,-3.1628,8.4259,11.128,30.721,36.172,32.344,41.333,31.076,59.711,84.894,A
3.0712,6.899,10.161,6.3285,6.2422,21.948,26.072,20.076,25.463,16.224,23.841,59.802,77.476,90.209,A
1.303,2.6877,7.5115,15.358,19.322,8.2549,10.979,32.392,26.008,32.948,33.243,61.012,66.98,0,A
1.303,5.7903,11.705,15.358,-4.9274,8.2549,27.792,32.392,26.008,15.362,33.243,33.811,78.752,0,A
1.303,8.3419,11.705,6.478,6.0452,8.2549,27.792,20.564,11.403,38.329,48.128,0,0,0,A
1.2885,2.6584,6.8071,13.729,17.623,9.2546,11.128,14.532,37.788,32.948,21.232,44.059,78.752,0,A
3.0712,-2.2303,2.9453,14.604,9.4442,12.304,7.4323,23.579,28.469,0,0,0,0,0,A
1.303,5.7903,1.5329,15.358,-4.9274,8.2549,27.792,32.392,26.008,15.362,23.046,61.012,0,0,A
1.2885,2.6584,6.8071,13.729,6.2422,8.4259,26.072,30.721,36.172,32.344,41.333,31.076,44.812,84.894,A
1.2885,4.9853,10.161,-4.7533,6.0452,8.2549,27.792,32.392,26.008,15.362,47.396,33.811,78.752,0,A
1.303,2.6877,7.5115,15.358,-4.9274,8.2549,10.979,32.392,26.008,32.948,21.232,33.811,60.79,0,A
1.2885,4.9853,10.161,-3.0309,6.2422,8.4259,26.072,30.721,25.463,32.344,22.167,31.076,77.476,84.894,A
1.2885,6.899,10.161,-3.0309,6.2422,8.4259,11.128,30.721,25.463,32.344,22.167,44.06,77.476,0,A
1.2885,6.899,10.161,6.2784,6.2422,23.709,27.792,20.564,11.403,15.297,48.128,0,0,0,A
1.303,8.3419,4.6254,4.2197,19.955,23.709,16.215,20.564,11.403,39.491,23.046,45.037,66.98,0,A
1.2885,4.9853,10.161,13.729,-3.1628,8.4259,26.072,30.721,25.463,16.224,22.167,34.544,77.476,0,A
1.2885,4.9853,10.161,-3.0309,6.2422,8.4259,26.072,30.721,25.463,32.344,22.167,57.248,77.476,90.209,A
3.9771,8.3419,5.1826,4.2197,19.955,23.709,16.215,8.0003,31.6,0,0,0,0,0,A
1.2885,4.9853,10.161,-3.0309,7.678,8.4259,11.128,30.721,36.172,42.846,41.333,31.076,77.476,0,A
